master_person_id,total_campaign_memberships,total_responses,real_engagement_count,automated_touch_count,automation_ratio,webinar_attended_count,event_attended_count,content_response_count,email_response_count,last_response_date,days_since_last_response,responses_7d,responses_14d,responses_30d,responses_90d,response_velocity_30d,engagement_burst_flag,sustained_engagement_flag,seniority_score,persona_score,profile_completeness_score,non_prospect_flag,account_id,is_icp_qualified,is_named_account,intent_score,do_not_contact,account_response_count,engaged_contacts_on_account,account_surge_flag,duplicate_email_flag,shared_mailbox_flag,broken_conversion_link_flag,missing_title_flag,missing_account_flag,opted_out_flag,bounced_or_left_company_flag,structural_block_flag,risk_score,eligibility_status,engagement_quality_score,buying_committee_strength
MP00000000000026,2,0,0,2,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,85,75,100.0,False,001VIhhWZwZcSH9gZU,False,False,11.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000027,20,6,6,9,0.45,3,2,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,6,0.2,False,True,70,60,100.0,False,0017nJ6iUo8k2fRN2B,False,True,25.0,False,6,1,False,True,False,False,False,False,False,False,False,30,Eligible,76.66666666666667,16.666666666666664
MP00000000000028,11,2,2,9,0.8181818181818182,1,1,0,0,2026-05-24 14:00:00,6.416655092592593,1,2,2,2,2.0,False,False,70,0,71.42857142857143,False,00140fAraVNqTIAae2,False,False,22.0,False,2,1,False,False,False,False,True,False,False,False,False,15,Eligible,85.0,33.33333333333333
MP00000000000029,3,0,0,2,0.6666666666666666,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,0,71.42857142857143,False,001FEQz0EfbVsrHkCU,False,False,74.0,False,0,0,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,0.0
MP00000000000030,7,5,5,2,0.2857142857142857,3,0,2,0,2026-05-12 21:04:04,18.12216435185185,0,0,4,5,4.0,False,True,0,0,71.42857142857143,False,001Q0OsGFUsd37EgEK,True,False,81.0,True,16,3,False,True,False,False,False,False,False,False,True,100,Blocked,62.0,100.0
MP00000000000031,1,1,1,0,0.0,0,0,1,0,2026-05-07 21:04:04,23.12216435185185,0,0,1,1,1.0,False,False,85,60,100.0,False,001g2luCq1GNLLKv0M,False,False,44.0,False,7,3,True,False,False,False,False,False,True,False,True,100,Blocked,50.0,100.0
MP00000000000032,12,3,3,9,0.75,2,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,3,0.5,False,True,50,60,100.0,False,001LT6mnOjkeaBKsoR,False,False,36.0,False,3,1,False,True,False,False,False,False,False,False,False,30,Eligible,63.333333333333336,33.33333333333333
MP00000000000033,5,2,2,1,0.2,0,1,0,0,2026-04-26 21:04:04,34.12216435185185,0,0,0,2,0.0,False,False,85,0,85.71428571428571,False,0019OBGhnuKoneNo41,True,False,61.0,False,4,2,False,False,False,False,False,False,True,False,True,100,Blocked,50.0,66.66666666666666
MP00000000000034,3,0,0,2,0.6666666666666666,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,70,75,85.71428571428571,False,001gJSoFc1pDxj51I4,False,False,46.0,False,1,1,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,33.33333333333333
MP00000000000035,6,1,1,5,0.8333333333333334,0,1,0,0,2026-04-28 21:04:04,32.12216435185185,0,0,0,1,0.0,False,False,50,0,85.71428571428571,False,001TtLFxJpRa5HSUPw,False,False,39.0,False,1,1,False,False,False,False,True,False,False,False,False,15,Eligible,100.0,33.33333333333333
MP00000000000036,1,1,1,0,0.0,1,0,0,0,2026-05-10 11:00:00,20.541655092592592,0,0,1,1,1.0,False,False,100,85,85.71428571428571,False,001rNHu9GCLgR0OVSn,False,False,81.0,False,4,2,False,False,False,False,True,False,False,False,False,15,Eligible,70.0,66.66666666666666
MP00000000000037,11,1,1,10,0.9090909090909091,1,0,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,1,1.0,False,False,0,100,85.71428571428571,False,001rSvBpDmH5RiMKpP,True,False,52.0,False,4,2,False,True,False,False,False,False,False,False,False,30,Eligible,70.0,66.66666666666666
MP00000000000038,1,0,0,1,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,25,0,71.42857142857143,False,001im2GNXX9WwHE4Fy,False,False,42.0,False,2,2,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,66.66666666666666
MP00000000000039,2,2,2,0,0.0,0,2,0,0,2026-05-25 21:04:04,5.122164351851852,1,1,2,2,2.0,False,False,100,0,85.71428571428571,True,001fGcn13Dce53Ic5t,False,False,53.0,False,3,2,False,False,False,False,True,False,False,False,True,15,Blocked,100.0,66.66666666666666
MP00000000000040,2,0,0,2,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,50,60,100.0,False,001VJGyOphTExIqqB9,False,False,32.0,False,0,0,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,0.0
MP00000000000041,10,1,1,9,0.9,0,1,0,0,2026-04-21 21:04:04,39.12216435185185,0,0,0,1,0.0,False,False,25,0,71.42857142857143,False,,False,False,0.0,False,0,0,False,False,False,False,False,True,False,False,False,15,Eligible,100.0,0.0
MP00000000000042,1,1,1,0,0.0,0,0,1,0,2026-05-02 21:04:04,28.12216435185185,0,0,1,1,1.0,False,False,70,75,100.0,False,001L2lVSID1u7a67h9,False,False,61.0,False,3,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000043,14,2,2,10,0.7142857142857143,1,1,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,2,2,2.0,False,False,0,100,71.42857142857143,False,001mn1uj3a1iipkOba,False,False,67.0,False,6,4,True,True,False,False,True,False,False,False,False,45,Restricted,85.0,100.0
MP00000000000044,2,0,0,2,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,70,0,71.42857142857143,False,001zi6sEg3iCPU6zUj,True,False,55.0,False,1,1,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,33.33333333333333
MP00000000000045,11,2,2,9,0.8181818181818182,2,0,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,2,1.0,False,False,50,0,85.71428571428571,False,001r4Eh0C3BfQ0tveH,False,True,21.0,False,10,3,True,False,False,False,False,False,False,False,False,0,Eligible,70.0,50.0
MP00000000000046,1,1,1,0,0.0,1,0,0,0,2026-04-20 21:04:04,40.12216435185185,0,0,0,1,0.0,False,False,0,0,57.14285714285714,False,001pxYyhIKHQI7CRBs,False,False,18.0,False,12,5,True,False,False,False,True,False,False,False,False,15,Eligible,70.0,100.0
MP00000000000047,3,1,1,1,0.3333333333333333,0,0,1,0,2026-04-27 21:04:04,33.12216435185185,0,0,0,1,0.0,False,False,50,0,71.42857142857143,False,001DXQsedBEmLtST18,False,False,67.0,False,6,4,False,False,False,False,True,False,False,False,False,15,Eligible,50.0,100.0
MP00000000000048,8,0,0,8,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,0,71.42857142857143,False,0017KUSyekoZy3uUi9,True,False,73.0,False,1,1,False,False,False,False,False,False,True,False,True,100,Blocked,0.0,33.33333333333333
MP00000000000049,10,0,0,9,0.9,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,0,71.42857142857143,False,0014I8IipmO50fSlqP,False,False,55.0,False,4,2,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,66.66666666666666
MP00000000000050,10,2,2,8,0.8,0,1,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,2,2,2.0,False,False,0,0,57.14285714285714,False,001UpCXiaZ8iZxNNKq,False,False,73.0,False,3,2,False,False,False,False,True,False,False,False,False,15,Eligible,75.0,66.66666666666666
MP00000000000051,4,0,0,2,0.5,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,75,85.71428571428571,False,001ReIdHFJjuGhmKfF,True,False,63.0,False,3,2,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,66.66666666666666
MP00000000000052,12,2,2,10,0.8333333333333334,0,0,2,0,2026-05-24 14:00:00,6.416655092592593,1,1,2,2,2.0,False,False,0,0,71.42857142857143,False,0019OBGhnuKoneNo41,True,False,61.0,False,4,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000053,11,2,2,9,0.8181818181818182,2,0,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,2,1.0,False,False,0,0,57.14285714285714,False,001fSEVQOEXfnQsKDG,False,True,50.0,False,10,3,True,False,False,False,True,False,False,False,False,15,Eligible,70.0,50.0
MP00000000000054,22,2,2,20,0.9090909090909091,1,0,1,0,2026-05-24 14:00:00,6.416655092592593,2,2,2,2,2.0,False,False,50,75,85.71428571428571,False,001NbrnTP3fAbnFbmO,False,False,15.0,False,5,3,True,True,False,False,True,False,False,False,False,45,Restricted,60.0,100.0
MP00000000000055,10,0,0,10,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,85,60,100.0,False,001xQPHOvlHGTnabsP,False,False,38.0,True,0,0,False,False,False,False,False,False,False,False,True,100,Blocked,0.0,0.0
MP00000000000056,12,3,3,9,0.75,1,1,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,3,0.5,False,True,25,0,71.42857142857143,False,001HnKYaXRvj7uff0L,False,True,57.0,False,17,5,True,False,False,False,True,False,False,False,False,15,Eligible,73.33333333333333,83.33333333333334
MP00000000000057,14,4,4,9,0.6428571428571429,2,0,1,0,2026-05-28 21:04:04,2.122164351851852,3,3,4,4,4.0,True,True,0,0,71.42857142857143,False,001EeVVhDIq2AnHTmt,True,False,72.0,False,6,2,True,False,False,False,False,False,True,False,True,100,Blocked,47.5,66.66666666666666
MP00000000000058,13,2,2,11,0.8461538461538461,0,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,2,1.0,False,False,0,60,71.42857142857143,False,001OQdhtzF3Rth4sMn,False,False,29.0,False,7,3,False,False,False,False,True,False,False,False,False,15,Eligible,25.0,100.0
MP00000000000059,11,2,2,9,0.8181818181818182,1,0,0,1,2026-05-27 21:04:04,3.122164351851852,1,1,2,2,2.0,False,False,50,75,100.0,False,0014I8IipmO50fSlqP,False,False,55.0,False,4,2,False,True,False,False,False,False,False,False,False,30,Eligible,45.0,66.66666666666666
MP00000000000060,3,1,1,1,0.3333333333333333,1,0,0,0,2026-05-04 21:04:04,26.12216435185185,0,0,1,1,1.0,False,False,0,60,71.42857142857143,False,001Ze11MFCIX3BYOtD,False,False,16.0,False,5,3,False,False,False,False,True,False,False,False,False,15,Eligible,70.0,100.0
MP00000000000061,4,0,0,2,0.5,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,70,85,100.0,False,0014HZKjht3X13npgW,False,False,32.0,False,7,2,True,True,False,True,False,False,False,False,False,30,Eligible,0.0,66.66666666666666
MP00000000000062,2,1,1,1,0.5,0,0,0,1,2026-05-10 11:00:00,20.541655092592592,0,0,1,1,1.0,False,False,70,0,85.71428571428571,False,001gcLRdTyon1dFrYT,True,False,84.0,False,5,3,False,False,False,False,False,False,False,False,False,0,Eligible,20.0,100.0
MP00000000000063,1,1,1,0,0.0,0,0,1,0,2026-04-16 21:04:04,44.12216435185185,0,0,0,1,0.0,False,False,0,60,71.42857142857143,False,001cdWFMFzRfHMrtFm,True,False,64.0,False,1,1,False,False,False,False,True,False,False,False,False,15,Eligible,50.0,33.33333333333333
MP00000000000064,3,2,2,1,0.3333333333333333,0,1,0,0,2026-05-23 21:04:04,7.122164351851852,0,1,1,2,1.0,False,False,0,0,71.42857142857143,False,001jdg3vSFkpBBGjxr,False,False,44.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,33.33333333333333
MP00000000000065,2,1,1,1,0.5,0,0,1,0,2026-04-17 21:04:04,43.12216435185185,0,0,0,1,0.0,False,False,0,60,85.71428571428571,False,001CtlRJoWcURYxPY8,False,True,30.0,False,16,4,True,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000066,12,1,1,11,0.9166666666666666,0,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,1,1.0,False,False,25,0,85.71428571428571,False,001INM1MjeBsrdFtCd,True,False,54.0,False,2,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000067,3,0,0,3,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,0,71.42857142857143,False,001h7i71S87XwXaHCP,False,False,9.0,False,0,0,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,0.0
MP00000000000068,10,2,2,8,0.8,1,1,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,2,2,2.0,False,False,0,0,71.42857142857143,False,001D04wzInjq5Jzjux,False,False,48.0,False,8,4,True,False,False,False,False,False,False,False,False,0,Eligible,85.0,100.0
MP00000000000069,4,1,1,2,0.5,1,0,0,0,2026-04-10 14:00:00,50.41665509259259,0,0,0,1,0.0,False,False,0,0,71.42857142857143,False,001fSEVQOEXfnQsKDG,False,True,50.0,False,10,3,True,False,False,False,False,False,False,False,False,0,Eligible,70.0,50.0
MP00000000000070,1,1,1,0,0.0,0,1,0,0,2026-05-14 21:04:04,16.12216435185185,0,0,1,1,1.0,False,False,0,85,85.71428571428571,False,001NbrnTP3fAbnFbmO,False,False,15.0,False,5,3,True,False,False,False,False,False,False,False,False,0,Eligible,100.0,100.0
MP00000000000071,12,2,2,10,0.8333333333333334,0,1,1,0,2026-05-25 21:04:04,5.122164351851852,2,2,2,2,2.0,False,False,85,60,100.0,False,001bQknlr2cMpszIdr,False,False,13.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,75.0,33.33333333333333
MP00000000000072,4,0,0,3,0.75,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,60,71.42857142857143,False,001DXQsedBEmLtST18,False,False,67.0,False,6,4,False,False,False,False,True,False,False,True,True,100,Blocked,0.0,100.0
MP00000000000073,5,2,2,2,0.4,2,0,0,0,2026-04-26 21:04:04,34.12216435185185,0,0,0,2,0.0,False,False,0,60,71.42857142857143,False,001f7ZJ69PqcUDO4lK,True,True,75.0,False,10,4,False,False,False,False,True,False,False,False,False,15,Eligible,70.0,66.66666666666666
MP00000000000074,5,2,2,2,0.4,0,1,0,0,2026-05-23 21:04:04,7.122164351851852,0,2,2,2,2.0,False,False,0,100,85.71428571428571,False,001Ybd3Bh4ZucCkJYy,False,False,30.0,False,7,4,True,False,False,False,False,False,False,False,False,0,Eligible,50.0,100.0
MP00000000000075,2,1,1,0,0.0,1,0,0,0,2026-05-17 21:04:04,13.122164351851852,0,1,1,1,1.0,False,False,0,75,85.71428571428571,False,0015qOpx4kysRoORaD,True,False,61.0,False,8,3,True,False,False,False,False,False,False,False,False,0,Eligible,70.0,100.0
MP00000000000076,26,6,6,19,0.7307692307692307,4,0,2,0,2026-05-25 21:04:04,5.122164351851852,3,3,4,6,2.0,True,True,50,0,85.71428571428571,False,0014HZKjht3X13npgW,False,False,32.0,False,7,2,True,False,True,False,True,False,False,False,False,55,Restricted,63.333333333333336,66.66666666666666
MP00000000000077,1,1,1,0,0.0,1,0,0,0,2026-04-10 14:00:00,50.41665509259259,0,0,0,1,0.0,False,False,0,0,57.14285714285714,False,0015BRh8LojIIf94Ch,False,True,44.0,False,3,2,False,False,False,False,True,False,False,False,False,15,Eligible,70.0,33.33333333333333
MP00000000000078,34,7,7,26,0.7647058823529411,4,0,2,0,2026-05-24 14:00:00,6.416655092592593,3,5,6,7,6.0,True,True,25,60,100.0,False,001fSEVQOEXfnQsKDG,False,True,50.0,False,10,3,True,True,False,False,False,False,False,False,False,30,Eligible,54.285714285714285,50.0
MP00000000000079,1,1,1,0,0.0,0,0,1,0,2026-05-06 21:04:04,24.12216435185185,0,0,1,1,1.0,False,False,70,0,85.71428571428571,False,001mn1uj3a1iipkOba,False,False,67.0,False,6,4,True,False,False,False,False,False,False,False,False,0,Eligible,50.0,100.0
MP00000000000080,15,5,5,9,0.6,3,0,2,0,2026-05-27 21:04:04,3.122164351851852,2,2,4,5,4.0,False,True,0,0,57.14285714285714,False,0014vvVSNQLlpIn8sr,True,False,87.0,False,9,3,False,False,True,True,True,False,False,False,False,55,Restricted,62.0,100.0
MP00000000000081,5,3,3,1,0.2,2,0,1,0,2026-05-10 11:00:00,20.541655092592592,0,0,1,3,0.5,False,True,50,0,85.71428571428571,False,0019HpUlwW1uhw3U3x,True,False,89.0,False,8,3,False,True,False,False,False,False,False,False,False,30,Eligible,63.333333333333336,100.0
MP00000000000082,2,1,1,1,0.5,0,0,1,0,2026-04-23 21:04:04,37.12216435185185,0,0,0,1,0.0,False,False,0,75,85.71428571428571,False,001YRsMfihslQFzixl,False,False,44.0,False,7,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000083,16,5,5,11,0.6875,2,0,0,1,2026-05-24 14:00:00,6.416655092592593,1,2,4,5,4.0,False,True,70,100,85.71428571428571,False,0019enq522wjZRL9Oa,False,False,32.0,False,9,2,False,False,False,False,True,False,False,False,False,15,Eligible,32.0,66.66666666666666
MP00000000000084,3,2,2,1,0.3333333333333333,1,1,0,0,2026-05-28 21:04:04,2.122164351851852,1,1,1,2,1.0,False,False,70,85,100.0,False,001ciuDCLFuMk9TsuZ,False,False,21.0,False,3,2,False,True,False,True,False,False,False,False,False,30,Eligible,85.0,66.66666666666666
MP00000000000085,0,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,25,100,100.0,False,001iVUi9iGaOBSMjzQ,False,False,33.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000086,13,4,4,9,0.6923076923076923,3,0,1,0,2026-05-24 21:04:04,6.122164351851852,2,2,3,4,3.0,False,True,0,0,57.14285714285714,False,,False,False,0.0,False,0,0,False,False,False,False,False,True,False,False,False,15,Eligible,65.0,0.0
MP00000000000087,3,2,2,1,0.3333333333333333,1,0,1,0,2026-05-28 21:04:04,2.122164351851852,1,2,2,2,2.0,False,False,85,75,100.0,False,001NgAC72qFl41sNLj,True,False,89.0,False,4,3,False,False,False,False,False,False,False,False,False,0,Eligible,60.0,100.0
MP00000000000088,1,0,0,1,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,85,0,71.42857142857143,False,00130S5NXFhmiXbIwX,False,False,22.0,False,1,1,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,33.33333333333333
MP00000000000089,11,2,2,9,0.8181818181818182,0,1,1,0,2026-05-30 21:04:04,0.12216435185185186,2,2,2,2,2.0,False,False,70,100,100.0,False,001EeVVhDIq2AnHTmt,True,False,72.0,False,6,2,True,False,False,False,False,False,False,False,False,0,Eligible,75.0,66.66666666666666
MP00000000000090,2,1,1,0,0.0,0,1,0,0,2026-04-24 21:04:04,36.12216435185185,0,0,0,1,0.0,False,False,25,60,100.0,False,001nipuaUkxRFZXe1c,False,False,37.0,False,7,4,True,False,False,False,False,False,False,False,False,0,Eligible,100.0,100.0
MP00000000000091,4,1,1,2,0.5,0,1,0,0,2026-05-07 21:04:04,23.12216435185185,0,0,1,1,1.0,False,False,0,85,85.71428571428571,False,0019NIQ0Wobtqn62tO,False,False,47.0,False,2,2,False,False,False,False,False,False,False,False,False,0,Eligible,100.0,66.66666666666666
MP00000000000092,1,0,0,1,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,0,71.42857142857143,False,001RtsYh0OPk9pkjI7,False,False,57.0,False,1,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000093,13,5,5,8,0.6153846153846154,1,0,2,2,2026-05-24 14:00:00,6.416655092592593,2,2,3,5,1.5,False,True,0,60,71.42857142857143,False,001YTH8xIZM1JRcore,False,False,43.0,False,7,2,False,True,False,False,True,False,False,False,False,45,Restricted,42.0,66.66666666666666
MP00000000000094,0,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,100,60,85.71428571428571,False,001ePut0SstzyshA6P,False,False,31.0,False,6,2,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,66.66666666666666
